x: 2, y: 2, z: 2, score: 4657.387333598546
x: 2, y: 2, z: 3, score: 2612.262974785061
x: 2, y: 2, z: 4, score: 3331.751225936674
x: 2, y: 2, z: 5, score: 4467.884654788214
x: 2, y: 2, z: 6, score: 5477.933186391752
x: 2, y: 2, z: 7, score: 7728.878747270107
x: 2, y: 2, z: 8, score: 8288.557397794342
x: 2, y: 2, z: 9, score: 7940.9317727291545
x: 2, y: 2, z: 10, score: 6124.02485713887
x: 2, y: 2, z: 11, score: 5367.414374459037
x: 2, y: 2, z: 12, score: 3227.3649878100764
x: 2, y: 2, z: 13, score: 2663.927553821932
x: 2, y: 2, z: 14, score: 4651.260275312488
x: 2, y: 2, z: 15, score: 7608.39248566013
x: 2, y: 2, z: 16, score: 10997.00952886513
x: 2, y: 3, z: 0, score: 5194.392133089034
x: 2, y: 3, z: 1, score: 5175.051843767865
x: 2, y: 3, z: 2, score: 9173.674205419653
x: 2, y: 3, z: 3, score: 4142.083320652634
x: 2, y: 3, z: 4, score: 3087.7197290775207
x: 2, y: 3, z: 5, score: 3641.7467466343855
x: 2, y: 3, z: 6, score: 5539.693211229352
x: 2, y: 3, z: 7, score: 2563.7400106649343
x: 2, y: 3, z: 8, score: 2129.0641290643084
x: 2, y: 3, z: 9, score: 2613.8152077335867
x: 2, y: 3, z: 10, score: 2378.291657491208
x: 2, y: 3, z: 11, score: 1338.7821223636945
x: 2, y: 3, z: 12, score: 1725.6685398889065
x: 2, y: 3, z: 13, score: 4720.024875154417
x: 2, y: 3, z: 14, score: 8737.31519614399
x: 2, y: 3, z: 15, score: 10803.904226871626
x: 2, y: 3, z: 16, score: 8341.401962472588
x: 2, y: 4, z: 0, score: 9310.520974832103
x: 2, y: 4, z: 1, score: 8785.552881171105
x: 2, y: 4, z: 2, score: 7732.605582336946
x: 2, y: 4, z: 3, score: 8226.344365130155
x: 2, y: 4, z: 4, score: 4885.601566632497
x: 2, y: 4, z: 5, score: 3144.3668733784684
x: 2, y: 4, z: 6, score: 2682.707709719838
x: 2, y: 4, z: 7, score: 2947.7613215357323
x: 2, y: 4, z: 8, score: 2132.05127963355
x: 2, y: 4, z: 9, score: 2544.203651114133
x: 2, y: 4, z: 10, score: 1287.906891957764
x: 2, y: 4, z: 11, score: 1329.0316982530726
x: 2, y: 4, z: 12, score: 1801.9015823269274
x: 2, y: 4, z: 13, score: 8060.97773221529
x: 2, y: 4, z: 14, score: 9549.275256384892
x: 2, y: 4, z: 15, score: 7903.626409192248
x: 2, y: 4, z: 16, score: 7006.779222557262
x: 2, y: 5, z: 0, score: 7873.90069655063
x: 2, y: 5, z: 1, score: 12011.58045690888
x: 2, y: 5, z: 2, score: 8925.659227630673
x: 2, y: 5, z: 3, score: 9615.031550554715
x: 2, y: 5, z: 4, score: 8810.197452804101
x: 2, y: 5, z: 5, score: 4885.930683645132
x: 2, y: 5, z: 6, score: 3821.732782509596
x: 2, y: 5, z: 7, score: 3836.0884105072478
x: 2, y: 5, z: 8, score: 5062.748611623228
x: 2, y: 5, z: 9, score: 3511.008516825903
x: 2, y: 5, z: 10, score: 3582.030336529661
x: 2, y: 5, z: 11, score: 5095.783461494798
x: 2, y: 5, z: 12, score: 4908.637277715947
x: 2, y: 5, z: 13, score: 5095.856899306376
x: 2, y: 5, z: 14, score: 8036.1770908253975
x: 2, y: 5, z: 15, score: 9994.447157818018
x: 2, y: 5, z: 16, score: 7306.352586119074
x: 2, y: 6, z: 0, score: 11194.69534128063
x: 2, y: 6, z: 1, score: 4717.208988207797
x: 2, y: 6, z: 2, score: 11645.940499248109
x: 2, y: 6, z: 3, score: 8398.202494648818
x: 2, y: 6, z: 4, score: 11221.950518057425
x: 2, y: 6, z: 5, score: 11191.901234071445
x: 2, y: 6, z: 6, score: 4291.631405925886
x: 2, y: 6, z: 7, score: 4173.270901085836
x: 2, y: 6, z: 8, score: 4039.326777484444
x: 2, y: 6, z: 9, score: 4687.5445005477595
